itemid,label,fluid,category
52264,Lymphs,Cerebrospinal Fluid,Hematology
52265,Lymphs#,Cerebrospinal Fluid,Hematology
52266,Macrophage,Cerebrospinal Fluid,Hematology
52267,Macrophage#,Cerebrospinal Fluid,Hematology
52294,Blasts,Joint Fluid,Hematology
52295,Blasts#,Joint Fluid,Hematology
52299,Hypersegmented Neutrophils,Joint Fluid,Hematology
52300,Hypersegmented Neutrophils #,Joint Fluid,Hematology
52302,Lymphs#,Joint Fluid,Hematology
52316,Acid Phosphatase Stain,Bone Marrow,Hematology
52326,Naphthol Acetate Stain,Bone Marrow,Hematology
52327,Naphthol Butryrate,Bone Marrow,Hematology
52331,TCR Alpha-Beta,Bone Marrow,Hematology
52339,Blasts,Other Body Fluid,Hematology
52340,Blasts#,Other Body Fluid,Hematology
52355,Hypersegmented Neutrophils,Other Body Fluid,Hematology
52356,Hypersegmented Neutrophils#,Other Body Fluid,Hematology
52359,Lymphs#,Other Body Fluid,Hematology
52367,TCR Alpha-Beta,Other Body Fluid,Hematology
52378,Blasts#,Pleural,Hematology
52382,Hypersegmented  Neutrophils#,Pleural,Hematology
52383,Hypersegmented Neutrophils,Pleural,Hematology
52384,Lymphs#,Pleural,Hematology
52407,WBC,Stool,Hematology
52409,Budding Yeast,Urine,Hematology
52410,Fatty Casts,Urine,Hematology
52434,"Chloride, Whole Blood",Blood,Blood Gas
52442,Lactate,Blood,Blood Gas
52452,"Potassium, Whole Blood",Blood,Blood Gas
52455,"Sodium, Whole Blood",Blood,Blood Gas
52500,Anion Gap,Blood,Chemistry
52535,Chloride,Blood,Chemistry
52546,Creatinine,Blood,Chemistry
52569,Glucose,Blood,Chemistry
52610,Potassium,Blood,Chemistry
52623,Sodium,Blood,Chemistry
52647,Urea Nitrogen,Blood,Chemistry
52703,"Albumin, Urine",Urine,Chemistry
52730,pH,Urine,Chemistry
52769,Absolute Lymphocyte Count,Blood,Hematology
53085,Albumin,Blood,Chemistry
53086,Alkaline Phosphatase,Blood,Chemistry
53089,"Bilirubin, Total",Blood,Chemistry
53116,(Albumin),Ascites,Chemistry
53117,Alpha-1,Ascites,Chemistry
53118,Alpha-2,Ascites,Chemistry
53123,"Immunoelectrophoresis, Ascites",Ascites,Chemistry
53135,"Acid Phosphatase, Prostatic Fraction",Blood,Chemistry
53136,Adrenocorticotrophic Hormone,Blood,Chemistry
53138,(Albumin),Blood,Chemistry
53141,Alpha-1,Blood,Chemistry
53142,Alpha-1-antitrypsin,Blood,Chemistry
53143,Alpha-2,Blood,Chemistry
53154,Lactate,Blood,Chemistry
53157,Absolute Lymphocyte Count,Blood,Chemistry
53159,Absolute Neutrophil Count,Blood,Chemistry
53164,Neutrophils,Blood,Chemistry
53169,Ceph-IC,Other Body Fluid,Chemistry
53170,CephIC Endpt,Other Body Fluid,Chemistry
53188,Lymphocytes,Blood,Chemistry
53189,Platelet Count,Blood,Chemistry
